scenario,event_group,turn,response_reference,provider_existence,attribute_faithfulness,rationale_support,hard_constraint_consistency,auditor,notes
study.baby_shower.01,baby_shower,0,458-01KWGVBCGEWW7NB619VKFGB92Q,pending,pending,pending,pending,,
study.baby_shower.03,baby_shower,0,1119-01KWGVCBM96SKC1MEQBEGNQ7R7,pending,pending,pending,pending,,
study.baby_shower.05,baby_shower,1,192-01KWGVDGBKS4QX61SNPMM2FE9Z,pending,pending,pending,pending,,
study.baby_shower.07,baby_shower,2,112-01KWGVF061YCMWCSXN73R0P3DN,pending,pending,pending,pending,,
study.birthday.01,birthday,0,1399-01KWGV5HFHGTS9EAGS3XD53J7B,pending,pending,pending,pending,,
study.birthday.03,birthday,0,1396-01KWGV69ZSAZGBMGHR8RH6BHS0,pending,pending,pending,pending,,
study.birthday.05,birthday,1,171-01KWGV7HT4HZQE9JZY04WKZCBX,pending,pending,pending,pending,,
study.birthday.07,birthday,2,158-01KWGV943J5J4QRAFVS6RAN7FC,pending,pending,pending,pending,,
study.corporate.01,corporate,0,463-01KWGVH85XBAJ2THP0B6M0JSC6,pending,pending,pending,pending,,
study.corporate.03,corporate,0,1500-01KWGVJ4G981HXVNP14Y8G3NNQ,pending,pending,pending,pending,,
study.corporate.05,corporate,1,179-01KWGVKKGY8F4766P2GCB518S8,pending,pending,pending,pending,,
study.corporate.07,corporate,2,112-01KWGVN3S2KKR1TH9MS9490CKQ,pending,pending,pending,pending,,
study.social.01,social,0,1436-01KWGVPWSEPSHGWC410YHPEDEB,pending,pending,pending,pending,,
study.social.03,social,0,2212-01KWGVQT20EJGR0VS6JHJ5ZKP5,pending,pending,pending,pending,,
study.social.05,social,1,285-01KWGVS53EJ23SPB9PNG3ZEH7W,pending,pending,pending,pending,,
study.social.07,social,2,109-01KWGVTR0ANVCEPTSBAJYSK9VD,pending,pending,pending,pending,,
study.wedding.01,wedding,0,1518-01KWGTYX5F1HREZJD5A6EXKMGF,pending,pending,pending,pending,,
study.wedding.03,wedding,0,2489-01KWGTZWCVWSWZ0FQ947Z5VDEF,pending,pending,pending,pending,,
study.wedding.05,wedding,1,232-01KWGV1BMHBKS0NXWH5RGY2F3Y,pending,pending,pending,pending,,
study.wedding.07,wedding,2,198-01KWGV35AC3M4SH5N3K65JKT1D,pending,pending,pending,pending,,
