scenario,event_group,turn,response_reference,provider_existence,attribute_faithfulness,rationale_support,hard_constraint_consistency,auditor,notes
study.baby_shower.01,baby_shower,0,517-01KWGMDMCWEP07XWXEY956ZFZZ,pending,pending,pending,pending,,
study.baby_shower.03,baby_shower,0,1562-01KWGMEFRK3NX34JBV9JE7FGAG,pending,pending,pending,pending,,
study.baby_shower.05,baby_shower,1,161-01KWGMFPGBH0WBHKA1H75WBTDM,pending,pending,pending,pending,,
study.baby_shower.07,baby_shower,2,138-01KWGMH311KW3GDXWYSKG1QAGJ,pending,pending,pending,pending,,
study.birthday.01,birthday,0,1377-01KWGM5P69KH0SEXZ61V6V19WA,pending,pending,pending,pending,,
study.birthday.03,birthday,0,1285-01KWGM6D7NYXK9PEN9TAD4DK78,pending,pending,pending,pending,,
study.birthday.05,birthday,1,301-01KWGM7HCXK2FBTH81GY0T7FBB,pending,pending,pending,pending,,
study.birthday.07,birthday,2,116-01KWGM91YH8J19ED32BER2MZNM,pending,pending,pending,pending,,
study.corporate.01,corporate,0,512-01KWGMK0ZPE0AC38JCNZ8V60VV,pending,pending,pending,pending,,
study.corporate.03,corporate,0,1528-01KWGMKYD43YBBBY4GRWPKTBDJ,pending,pending,pending,pending,,
study.corporate.05,corporate,1,231-01KWGMN5FN6Q4348K981XGWQFD,pending,pending,pending,pending,,
study.corporate.07,corporate,2,145-01KWGMPF32JX6JV3YPQNER2S1M,pending,pending,pending,pending,,
study.social.01,social,0,1411-01KWGMR6ESNJSCZGKW2GSEP0XP,pending,pending,pending,pending,,
study.social.03,social,0,1765-01KWGMS6QP0X2ZH7Q3QA3CN316,pending,pending,pending,pending,,
study.social.05,social,1,249-01KWGMTDQ5ADGVS0S96XB81E9Y,pending,pending,pending,pending,,
study.social.07,social,2,109-01KWGMW1TXW5BR5WDWDFWETHPS,pending,pending,pending,pending,,
study.wedding.01,wedding,0,1738-01KWGKX7FDQVWNDGVVRQZHKHKM,pending,pending,pending,pending,,
study.wedding.03,wedding,0,1570-01KWGKY8QT95BS5VFB72EGN0JH,pending,pending,pending,pending,,
study.wedding.05,wedding,1,277-01KWGKZJRJQ9V0NNPF5EHNZPWQ,pending,pending,pending,pending,,
study.wedding.07,wedding,2,117-01KWGM3GRHNVTSKMT5WMRRWQT6,pending,pending,pending,pending,,
