scenario,event_group,turn,response_reference,provider_existence,attribute_faithfulness,rationale_support,hard_constraint_consistency,auditor,notes
study.baby_shower.01,baby_shower,0,436-01KWJRH9N7KQ72W6J0MBS3Q95C,pending,pending,pending,pending,,
study.baby_shower.04,baby_shower,1,389-01KWJRJG1GH83Z922RF9FMG7GS,pending,pending,pending,pending,,
study.baby_shower.07,baby_shower,2,112-01KWJRMBBEZCMGH3KS0667D4EY,pending,pending,pending,pending,,
study.birthday.03,birthday,0,1157-01KWJRCGFYRQ5V1N4R0TT1ADT3,pending,pending,pending,pending,,
study.birthday.05,birthday,1,374-01KWJRE1NDE9AGEEFKMVHD0EYK,pending,pending,pending,pending,,
study.birthday.07,birthday,2,131-01KWJRFCZA5X5VXGJ92BCABVME,pending,pending,pending,pending,,
study.corporate.01,corporate,0,546-01KWJRP53BMGC12TG04RTAQAMY,pending,pending,pending,pending,,
study.corporate.04,corporate,1,395-01KWJRQDER459NP328EPB4RXWR,pending,pending,pending,pending,,
study.corporate.07,corporate,2,113-01KWJRS9TTRP212E4JMCT2ADZ0,pending,pending,pending,pending,,
study.social.03,social,0,2128-01KWJRVZN5YTCW2VGKVHSS6RTV,pending,pending,pending,pending,,
study.social.05,social,1,271-01KWJRXBG8592XGWYVKZ0VW76A,pending,pending,pending,pending,,
study.wedding.01,wedding,0,1799-01KWJR638FE8FVABQ5YMP8TJTZ,pending,pending,pending,pending,,
study.wedding.04,wedding,1,1885-01KWJR7MAZB41DSMQQ3NVFC25Q,pending,pending,pending,pending,,
study.wedding.06,wedding,2,1809-01KWJR92KTR0A9A168PEE0H7WQ,pending,pending,pending,pending,,
study.wedding.08,wedding,1,480-01KWJRAMNZNPJ7D7T66F3QRQZQ,pending,pending,pending,pending,,
