scenario,event_group,turn,response_reference,provider_existence,attribute_faithfulness,rationale_support,hard_constraint_consistency,auditor,notes
study.baby_shower.01,baby_shower,0,494-01KWGQXD5FMJFPHEG7VC5HWWWY,pending,pending,pending,pending,,
study.baby_shower.03,baby_shower,0,1280-01KWGQYAV2ZKFD6A3FDXH9JCNP,pending,pending,pending,pending,,
study.baby_shower.05,baby_shower,1,178-01KWGQZC1G2Z5XH86E59M9E6P0,pending,pending,pending,pending,,
study.baby_shower.07,baby_shower,2,171-01KWGR0SWEJSNK89QHR8PAHNB3,pending,pending,pending,pending,,
study.birthday.01,birthday,0,1655-01KWGQM52GQ69X208JS97GS61G,pending,pending,pending,pending,,
study.birthday.03,birthday,0,1284-01KWGQMY3VD9RCNYPQMF4P4PBZ,pending,pending,pending,pending,,
study.birthday.05,birthday,1,242-01KWGPRKSJ2G269XP52N474QMR,pending,pending,pending,pending,,
study.birthday.07,birthday,2,108-01KWGQT1RRMGF1M7E1KC6PDHR4,pending,pending,pending,pending,,
study.corporate.01,corporate,0,515-01KWGR2Q7BWSX3AWXEAXRD88AJ,pending,pending,pending,pending,,
study.corporate.03,corporate,0,1301-01KWGR3H2HXS0CMTQYM8N5PVF3,pending,pending,pending,pending,,
study.corporate.05,corporate,1,162-01KWGR4HW0Z80ZHX6KMYM8FSPT,pending,pending,pending,pending,,
study.corporate.07,corporate,2,112-01KWGR6AVNQTE4M8P1A72CB9WT,pending,pending,pending,pending,,
study.social.01,social,0,1279-01KWGR86NFR6EDMGD8VTHTSQ3Y,pending,pending,pending,pending,,
study.social.03,social,0,1843-01KWGR93JQWGQE87X8MFFE8Z8Q,pending,pending,pending,pending,,
study.social.05,social,1,270-01KWGRCTPQWQEJGZ9QY9E9VYF8,pending,pending,pending,pending,,
study.social.07,social,2,129-01KWGRE788F954XEZAMH7DR4CQ,pending,pending,pending,pending,,
study.wedding.01,wedding,0,1885-01KWGQDRMC9CAXZBDNQKDT21BB,pending,pending,pending,pending,,
study.wedding.03,wedding,0,2152-01KWGQEPQAZR7X65B1QVWACEQK,pending,pending,pending,pending,,
study.wedding.05,wedding,1,227-01KWGQG4VRDEV0281J0VBA4RJT,pending,pending,pending,pending,,
study.wedding.07,wedding,2,175-01KWGQHYV7MZHGNMVG2VSNPZDR,pending,pending,pending,pending,,
